Entity,Code,Date,Total confirmed cases of COVID-19 per million people (cases per million)
Afghanistan,AFG,"Feb 25, 2020",0.02568822544993633
Afghanistan,AFG,"Feb 26, 2020",0.02568822544993633
Afghanistan,AFG,"Feb 27, 2020",0.02568822544993633
Afghanistan,AFG,"Feb 28, 2020",0.02568822544993633
Afghanistan,AFG,"Feb 29, 2020",0.02568822544993633
Afghanistan,AFG,"Mar 1, 2020",0.02568822544993633
Afghanistan,AFG,"Mar 2, 2020",0.02568822544993633
Afghanistan,AFG,"Mar 8, 2020",0.10275290179974532
Afghanistan,AFG,"Mar 11, 2020",0.17981757814955432
Afghanistan,AFG,"Mar 15, 2020",0.2568822544993633
Afghanistan,AFG,"Mar 16, 2020",0.4110116071989813
Afghanistan,AFG,"Mar 17, 2020",0.5394527344486629
Afghanistan,AFG,"Mar 18, 2020",0.5651409598985992
Afghanistan,AFG,"Mar 19, 2020",0.5651409598985992
Afghanistan,AFG,"Mar 20, 2020",0.5651409598985992
Afghanistan,AFG,"Mar 21, 2020",0.6165174107984719
Afghanistan,AFG,"Mar 22, 2020",0.6165174107984719
Afghanistan,AFG,"Mar 23, 2020",0.8733996652978353
Afghanistan,AFG,"Mar 24, 2020",1.0275290179974532
Afghanistan,AFG,"Mar 25, 2020",1.0789054688973259
Afghanistan,AFG,"Mar 26, 2020",1.9266169087452247
Afghanistan,AFG,"Mar 27, 2020",1.9266169087452247
Afghanistan,AFG,"Mar 28, 2020",2.337628515944206
Afghanistan,AFG,"Mar 29, 2020",2.722951897693251
Afghanistan,AFG,"Mar 30, 2020",2.9284577012927415
Afghanistan,AFG,"Mar 31, 2020",3.6220397884410227
Afghanistan,AFG,"Apr 1, 2020",4.264245424689431
Afghanistan,AFG,"Apr 2, 2020",4.932139286387775
Afghanistan,AFG,"Apr 3, 2020",6.036732980735038
Afghanistan,AFG,"Apr 4, 2020",6.036732980735038
Afghanistan,AFG,"Apr 5, 2020",6.935820871482809
Afghanistan,AFG,"Apr 6, 2020",7.680779409530963
Afghanistan,AFG,"Apr 7, 2020",8.656931976628544
Afghanistan,AFG,"Apr 8, 2020",9.427578740126634
Afghanistan,AFG,"Apr 9, 2020",10.866119365323067
Afghanistan,AFG,"Apr 10, 2020",12.433101117769183
Afghanistan,AFG,"Apr 11, 2020",13.383565459416829
Afghanistan,AFG,"Apr 12, 2020",14.256965124714664
Afghanistan,AFG,"Apr 13, 2020",15.592752848111353
Afghanistan,AFG,"Apr 14, 2020",17.08266992420766
Afghanistan,AFG,"Apr 15, 2020",18.34139297125454
Afghanistan,AFG,"Apr 16, 2020",20.139568752750083
Afghanistan,AFG,"Apr 17, 2020",20.396451007249446
Afghanistan,AFG,"Apr 18, 2020",21.7065505051962
Afghanistan,AFG,"Apr 19, 2020",23.32490870854219
Afghanistan,AFG,"Apr 20, 2020",25.585472548136586
Afghanistan,AFG,"Apr 21, 2020",26.48456043888436
Afghanistan,AFG,"Apr 22, 2020",28.051542191330473
Afghanistan,AFG,"Apr 23, 2020",30.209353129125127
Afghanistan,AFG,"Apr 24, 2020",32.90661680136844
Afghanistan,AFG,"Apr 25, 2020",34.70479258286398
Afghanistan,AFG,"Apr 26, 2020",37.58187383325685
Afghanistan,AFG,"Apr 27, 2020",39.32867316385252
Afghanistan,AFG,"Apr 28, 2020",43.74704794124157
Afghanistan,AFG,"Apr 29, 2020",46.93238789703368
Afghanistan,AFG,"Apr 30, 2020",50.06635140192591
Africa,,"Feb 15, 2020",0.000745935706087332
Africa,,"Feb 16, 2020",0.000745935706087332
Africa,,"Feb 17, 2020",0.000745935706087332
Africa,,"Feb 18, 2020",0.000745935706087332
Africa,,"Feb 19, 2020",0.000745935706087332
